Category,Month,Year,Total Entries
Hardware Architecture,11,2023,156
Hardware Architecture,12,2023,135
Human-Computer Interaction,07,2023,536
Human-Computer Interaction,08,2023,529
Human-Computer Interaction,09,2023,763
Human-Computer Interaction,10,2023,699
Human-Computer Interaction,11,2023,609
Human-Computer Interaction,12,2023,527
Information Retrieval,07,2023,225
Information Retrieval,08,2023,293
Information Retrieval,09,2023,221
Information Retrieval,10,2023,258
Information Retrieval,11,2023,233
Information Retrieval,12,2023,218
Information Theory,07,2023,362
Information Theory,08,2023,356
Information Theory,09,2023,408
Information Theory,10,2023,388
Information Theory,11,2023,409
Information Theory,12,2023,356
Logic in Computer Science,07,2023,182
Logic in Computer Science,08,2023,101
Logic in Computer Science,09,2023,130
Logic in Computer Science,10,2023,126
Logic in Computer Science,11,2023,93
Logic in Computer Science,12,2023,89
Machine Learning,07,2023,3037
Machine Learning,08,2023,3108
Machine Learning,09,2023,3241
Machine Learning,10,2023,4743
Machine Learning,11,2023,3856
Machine Learning,12,2023,3623
Mathematical Software,07,2023,0
Mathematical Software,08,2023,0
Mathematical Software,09,2023,0
Mathematical Software,10,2023,0
Mathematical Software,11,2023,0
Mathematical Software,12,2023,0
Multiagent Systems,07,2023,151
Multiagent Systems,08,2023,116
Multiagent Systems,09,2023,110
Multiagent Systems,10,2023,180
Multiagent Systems,11,2023,114
Multiagent Systems,12,2023,130
Multimedia,07,2023,119
Multimedia,08,2023,172
Multimedia,09,2023,155
Multimedia,10,2023,136
Multimedia,11,2023,179
Multimedia,12,2023,174
Networking and Internet Architecture,07,2023,232
Networking and Internet Architecture,08,2023,239
Networking and Internet Architecture,09,2023,275
Networking and Internet Architecture,10,2023,250
Networking and Internet Architecture,11,2023,235
Networking and Internet Architecture,12,2023,230
Neural and Evolutionary Computing,07,2023,263
Neural and Evolutionary Computing,08,2023,262
Neural and Evolutionary Computing,09,2023,256
Neural and Evolutionary Computing,10,2023,332
Neural and Evolutionary Computing,11,2023,273
Neural and Evolutionary Computing,12,2023,259
Numerical Analysis,07,2023,363
Numerical Analysis,08,2023,353
Numerical Analysis,09,2023,319
Numerical Analysis,10,2023,425
Numerical Analysis,11,2023,349
Numerical Analysis,12,2023,334
Operating Systems,07,2023,0
Operating Systems,08,2023,0
Operating Systems,09,2023,0
Operating Systems,10,2023,0
Operating Systems,11,2023,0
Operating Systems,12,2023,0
Other Computer Science,07,2023,140
Other Computer Science,08,2023,126
Other Computer Science,09,2023,135
Other Computer Science,10,2023,195
Other Computer Science,11,2023,211
Other Computer Science,12,2023,141
Performance,07,2023,126
Performance,08,2023,138
Performance,09,2023,146
Performance,10,2023,138
Performance,11,2023,156
Performance,12,2023,135
Programming Languages,07,2023,182
Programming Languages,08,2023,101
Programming Languages,09,2023,130
Programming Languages,10,2023,126
Programming Languages,11,2023,93
Programming Languages,12,2023,89
Robotics,07,2023,631
Robotics,08,2023,706
Robotics,09,2023,990
Robotics,10,2023,812
Robotics,11,2023,723
Robotics,12,2023,669
Social and Information Networks,07,2023,255
Social and Information Networks,08,2023,307
Social and Information Networks,09,2023,280
Social and Information Networks,10,2023,350
Social and Information Networks,11,2023,299
Social and Information Networks,12,2023,243
Software Engineering,07,2023,217
Software Engineering,08,2023,282
Software Engineering,09,2023,252
Software Engineering,10,2023,272
Software Engineering,11,2023,242
Software Engineering,12,2023,226
Sound,07,2023,216
Sound,08,2023,237
Sound,09,2023,431
Sound,10,2023,274
Sound,11,2023,185
Sound,12,2023,211
Symbolic Computation,07,2023,182
Symbolic Computation,08,2023,101
Symbolic Computation,09,2023,130
Symbolic Computation,10,2023,126
Symbolic Computation,11,2023,93
Symbolic Computation,12,2023,89
Systems and Control,07,2023,533
Systems and Control,08,2023,605
Systems and Control,09,2023,714
Systems and Control,10,2023,728
Systems and Control,11,2023,666
Systems and Control,12,2023,584
